indicator_basename,example_string,matched_files,count_files
tortoisesvn,%programfiles%\TortoiseSVN,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
tracker software,%programfiles%\Tracker Software,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
tstpfltk.exe,%userprofile%\appdata\locallow\copitrak\tstpfltk.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
updater.exe,%userprofile%\appdata\roaming\vision\updater.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
verpatch.exe,%localappdata%\mssolvehelper databroker\*\verpatch.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
videolan,%programfiles%\VideoLAN,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
vim,%programfiles%\Vim,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
vivaldi,%programfiles%\vivaldi,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
vivaldi.exe,%localappdata%\vivaldi\application\vivaldi.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
webconferencing,%programfiles%\WebConferencing,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
webex,%programfiles%\WebEx,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
windows mail,%programfiles%\windows mail,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
windows media player,%programfiles%\Windows Media Player,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
wisptis.exe,%windir%\system32\wisptis.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
wondershare,%programfiles%\Wondershare,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
wordpad.exe,%programfiles%\windows nt\accessories\wordpad.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
workshare,%programfiles%\workshare,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
xlslauncher.exe,%localappdata%\seclore\filesecure\filesecure lite\xlslauncher.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
xnview,%programfiles%\XnView,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
yeswarechromium.exe,%localappdata%\yesware\yesware for outlook\yeswareshadow\yeswarechromium.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
yeswarechromiumx64.exe,%localappdata%\yesware\yesware for outlook\yeswareshadow\yeswarechromiumx64.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
zoom,%programfiles%\zoom,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
zoom.exe,%appdata%\zoom\bin\zoom.exe,asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,4
.+,.:\\windows\\ccmcache\\.+,asr_lua_19.bin;asr_lua_19.bin.txt;asr_lua_24.bin,3
acrobat,%programfiles%\acrobat,asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin,3
adobe,%commonprogramfiles%\adobe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin,3
application,%programfiles%\Microsoft\Edge\Application,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt,3
applicationfocus.exe,%programfiles(x86)%\Dania Software\DynamicTemplate for Office\ApplicationFocus.exe,asr_lua_20.bin;asr_lua_23.bin;asr_lua_23.bin.txt,3
appvdllsurrogate32.exe,%programfiles%\microsoft application virtualization\client\subsystems\appvdllsurrogate32.exe,asr_lua_22.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
appvdllsurrogate64.exe,%programfiles%\microsoft application virtualization\client\subsystems\appvdllsurrogate64.exe,asr_lua_22.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
browsersubprocess.exe,%programfiles%\DevScope\*\BrowserSubprocess.exe,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
conhost.exe,%windir%\system32\conhost.exe,asr_lua_22.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
explorer.exe,%windir%\explorer.exe,asr_lua_22.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
fdsbrowser.exe,%programfiles(x86)%\FactSet\FDSBrowser.exe,asr_lua_22.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
fdsbrowser_x??.exe,%programfiles%\FactSet\FDSBrowser_x??.exe,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
firefox developer edition,%programfiles%\firefox developer edition,asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin,3
foxit software,%programfiles%\foxit software,asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin,3
google,%programfiles%\google,asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin,3
identityfindercmd.exe,%programfiles(x86)%\Spirion\IdentityFinderCmd.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt,3
internet explorer,%programfiles%\internet explorer,asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin,3
lindenhouse software ltd,%programfiles%\Lindenhouse Software Ltd,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
lotus,%programfiles%\lotus,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
lumgr.exe,%programfiles(x86)%\SamsungPrinterLiveUpdateInstaller\LUMgr.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt,3
metaswitch,%programfiles%\Metaswitch,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
microsoft access2007,%programfiles%\Microsoft Access2007,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
microsoft azure information protection,%programfiles%\Microsoft Azure Information Protection,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
microsoft dynamics crm,%programfiles%\microsoft dynamics crm,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
microsoft dynamics crm 2013 client,%programfiles%\Microsoft Dynamics CRM 2013 Client,asr_lua_23.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
microsoft shared,%commonprogramfiles%\microsoft shared,asr_lua_22.bin;asr_lua_23.bin;asr_lua_24.bin,3
olk.exe,%programfiles%\WindowsApps\Microsoft.OutlookForWindows_*\olk.exe,asr_lua_22.bin;asr_lua_24.bin;asr_lua_24.bin.txt,3
wmiprvse.exe,%windir%\system32\wbem\WmiPrvSE.exe,asr_lua_19.bin;asr_lua_21.bin;asr_lua_5.bin,3
"""","cmd[^\s]*\s+/c\s+\""chcp\s+65001\s+&\s+.:\\windows\\system32\\inetsrv\\appcmd\.exe\s+list[^>]+>\s+\""\\\\127\.0\.0\.1\\.\$\\temp\\[^\""]+\""\s+2>&1\""",asr_lua_19.bin;asr_lua_24.bin,2
"""?$","\""?.:\\windows\\system32\\control\.exe\""?\s+\""?input\.dll\""?$",asr_lua_23.bin;asr_lua_24.bin,2
.bat,.:\\apps\\tc\\tc12\\tccs\\starttccs\.bat,asr_lua_23.bin;asr_lua_23.bin.txt,2
.dll,"rundll32(\.exe)?[\""\s]+[a-z]:\\program files[^\\]*\\rapid7\\insight agent\\components\\armor\\common\\armor\\mvarmor64\.dll",asr_lua_23.bin;asr_lua_24.bin,2
2.0,%localappdata%\apps\2.0,asr_lua_23.bin;asr_lua_23.bin.txt,2
28hands,%programfiles%\28Hands,asr_lua_23.bin;asr_lua_24.bin,2
7-zip,%programfiles%\7-Zip,asr_lua_23.bin;asr_lua_24.bin,2
acd systems,%programfiles%\ACD Systems,asr_lua_23.bin;asr_lua_24.bin,2
add-on products,%programfiles%\Add-On Products,asr_lua_23.bin;asr_lua_24.bin,2
addins,%appdata%\microsoft\addins,asr_lua_23.bin;asr_lua_23.bin.txt,2
admin by request,%programdata%\FastTrack Software\Admin By Request,asr_lua_24.bin;asr_lua_24.bin.txt,2
aetherclientx.exe,%localappdata%\apps\2.0\*\*\*\AEtherClientX.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
agentconnectix.exe,%programfiles%\Druide\Connectix 11\Application\Bin64\AgentConnectix.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
alicobv.exe,%programfiles%\Amebis Besana\ALicObv.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
appvdllsurrogate.exe,%programfiles%\Microsoft Office\root\client\AppVDllSurrogate.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
aqmauscreenaermod.exe,%systemdrive%\Screening_Tool\SCREEN\AERMODPRIME\AQMAUScreenAermod.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
autodesk,%programfiles%\Autodesk,asr_lua_23.bin;asr_lua_24.bin,2
babteccaq.exe,%localappdata%\apps\2.0\*\*\*\BabtecCAQ.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
bbcomm.exe,%programfiles%\blp\DAPI\bbcomm.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
bcdedit.exe,%systemroot%\system32\bcdedit.exe,asr_lua_17.bin;asr_lua_5.bin,2
block credential stealing from the windows local security authority subsystem (lsass.exe),Block credential stealing from the Windows local security authority subsystem (lsass.exe),asr_lua_21.bin;asr_lua_21.bin.txt,2
bluebeam software,%programfiles%\bluebeam software,asr_lua_23.bin;asr_lua_24.bin,2
bombbomb.browsers.chromium.x??.exe,%programfiles%\BombBomb\BombBomb Outlook Desktop Add-in\BombBomb.Browsers.Chromium.x??.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
bpipprm.exe,%systemdrive%\Screening_Tool\SCREEN\AERMODPRIME\Bpipprm.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
browserouter.exe,%programfiles%\BrowseRouter\BrowseRouter.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
browserprocesshelper.exe,%localappdata%\apps\2.0\*\*\*\BrowserProcessHelper.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
browserprocesshelper64.exe,%localappdata%\apps\2.0\*\*\*\BrowserProcessHelper64.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
brp.exe,%localappdata%\apps\2.0\*\*\*\BRP.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
btcloudphoneforoutlook.browsersubprocess-x??.exe,%programfiles(x86)%\BTCloudPhoneForOutlook\BTCloudPhoneForOutlook.BrowserSubProcess-x??.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
ca dataminder,%programfiles%\CA\CA DataMinder,asr_lua_23.bin;asr_lua_24.bin,2
casebuddy64.exe,%localappdata%\apps\2.0\*\*\*\CaseBuddy64.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
cdlauncher.exe,%localappdata%\apps\2.0\*\*\*\CDLauncher.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
cerenade shared,%programfiles%\Common Files\Cerenade Shared,asr_lua_23.bin;asr_lua_24.bin,2
cfsendto.exe,%programfiles(x86)%\ShareFile\ShareFile for Outlook\CFSendTo.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
chrome,%userprofile%\appdata\local\google\chrome,asr_lua_22.bin;asr_lua_22.bin.txt,2
ciscojabber.exe,%programfiles(x86)%\Cisco Systems\Cisco Jabber\CiscoJabber.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
citrix,%programfiles%\Citrix,asr_lua_23.bin;asr_lua_24.bin,2
client,%programfiles%\Microsoft Office\root\client,asr_lua_23.bin;asr_lua_23.bin.txt,2
compattelrunner.exe,%windir%\system32\CompatTelRunner.exe,asr_lua_21.bin;asr_lua_5.bin,2
copitrak,%userprofile%\appdata\locallow\copitrak,asr_lua_22.bin;asr_lua_22.bin.txt,2
crm.terminal.exe,%localappdata%\apps\2.0\*\*\*\CRM.Terminal.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
current,%programfiles(x86)%\Office Timeline\Current,asr_lua_23.bin;asr_lua_23.bin.txt,2
cwin64.exe,%programfiles(x86)%\CaseWare\cwin64.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
dealcloud.addin.webbrowserhost.exe,%localappdata%\apps\2.0\*\*\*\DealCloud.AddIn.WebBrowserHost.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
dismhost.exe,%windir%\Temp\*\DismHost.exe,asr_lua_19.bin;asr_lua_5.bin,2
dnbrowserprocess.exe,%programfiles(x86)%\Staffbase\StaffbaseEmailClassic\WebBrowser\DNBrowserProcess.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
doaddinmonitor.exe,%programfiles(x86)%\DotOffice\Corporate Identity\doAddinMonitor.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
docscorp,%programfiles%\DocsCorp,asr_lua_23.bin;asr_lua_24.bin,2
docsexpert,%programfiles%\DocsExpert,asr_lua_23.bin;asr_lua_24.bin,2
docstofast.exe,%programfiles(x86)%\First American\DocsToFAST\DocsToFAST.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
dsregcmd.exe,%windir%\system32\dsregcmd.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
eikonboxnet.exe,%userprofile%\appdata\local\Thomson Reuters\Eikon\Y\Bin\EikonBoxNet.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
epic.excavator.exe,%localappdata%\apps\2.0\*\*\*\Epic.Excavator.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
excel.exe,%programfiles(x86)%\Microsoft Office\root\Office16\EXCEL.EXE,asr_lua_20.bin;asr_lua_23.bin,2
exoaagent.exe,%programfiles(x86)%\EMC SourceOne\Offline Access\ExOAAgent.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
expressviewer.exe,%commonprogramfiles%\Autodesk Shared\DWF Common\ExpressViewer.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
factset,%programfiles(x86)%\FactSet,asr_lua_23.bin;asr_lua_23.bin.txt,2
fds*.exe,%programfiles(x86)%\FactSet\FDS*.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
fdsbrowser_x64.exe,%programfiles(x86)%\FactSet\FDSBrowser_x64.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
fiddler2,%programfiles%\Fiddler2,asr_lua_23.bin;asr_lua_24.bin,2
filzip,%programfiles%\filzip,asr_lua_23.bin;asr_lua_24.bin,2
firefox,%programfiles%\Firefox,asr_lua_23.bin;asr_lua_24.bin,2
firefox nightly,%programfiles%\firefox nightly,asr_lua_23.bin;asr_lua_24.bin,2
flow.exe,%programfiles(x86)%\iGrafx\Pro\*\flow.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
framework,%windir%\microsoft.net\framework,asr_lua_23.bin;asr_lua_23.bin.txt,2
framework64,%windir%\microsoft.net\framework64,asr_lua_23.bin;asr_lua_23.bin.txt,2
fusionclient,%programfiles(x86)%\Unify\Fusion for MS Office\FusionClient,asr_lua_24.bin;asr_lua_24.bin.txt,2
git,%programfiles%\Git,asr_lua_23.bin;asr_lua_24.bin,2
gnu,%programfiles%\GNU,asr_lua_23.bin;asr_lua_24.bin,2
gpg.exe,%programfiles(x86)%\gnupg\bin\gpg.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
gpg4win,%programfiles%\Gpg4win,asr_lua_23.bin;asr_lua_24.bin,2
gpsoftware,%programfiles%\GPSoftware,asr_lua_23.bin;asr_lua_24.bin,2
harmon.ie.browserhost.exe,%programfiles%\harmon.ie\harmon.ie for SharePoint\bin\harmon.ie.BrowserHost.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
hewlett packard enterprise,%programfiles%\Hewlett Packard Enterprise,asr_lua_23.bin;asr_lua_24.bin,2
hyland.canvas.financialclosemanagement.client.exe,%localappdata%\apps\2.0\*\*\*\Hyland.Canvas.FinancialCloseManagement.Client.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
ibm,%programfiles%\Common Files\IBM,asr_lua_23.bin;asr_lua_24.bin,2
idm computer solutions,%programfiles%\IDM Computer Solutions,asr_lua_23.bin;asr_lua_24.bin,2
iexplore.exe,%programfiles(x86)%\Citrix\System32\iexplore.exe,asr_lua_22.bin;asr_lua_22.bin.txt,2
iken,%programfiles(x86)%\Iken,asr_lua_24.bin;asr_lua_24.bin.txt,2
imeutil.exe,%programfiles(x86)%\SogouWBInput\*\ImeUtil.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
intellimagic,%programfiles%\IntelliMagic,asr_lua_23.bin;asr_lua_24.bin,2
interactive intelligence,%programfiles%\Interactive Intelligence,asr_lua_23.bin;asr_lua_24.bin,2
ipfx,%programfiles%\IPFX,asr_lua_23.bin;asr_lua_24.bin,2
irfanview,%programfiles%\irfanview,asr_lua_23.bin;asr_lua_24.bin,2
iwsessioncache.exe,%programfiles(x86)%\Litera\Metadact\Metadact for Outlook\DmsIntegrations\iwSessionCache.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
izarc,%programfiles%\IZArc,asr_lua_23.bin;asr_lua_24.bin,2
jedox,%programfiles(x86)%\Jedox,asr_lua_23.bin;asr_lua_23.bin.txt,2
jetfrontserver.exe,%programfiles(x86)%\JetReports\JetFrontServer.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
just great software,%programfiles%\Just Great Software,asr_lua_23.bin;asr_lua_24.bin,2
justsystems,%programfiles%\JustSystems,asr_lua_23.bin;asr_lua_24.bin,2
kapish,%programfiles%\Kapish,asr_lua_23.bin;asr_lua_24.bin,2
ksomisc.exe,%localappdata%\Kingsoft\WPS Office\*\office6\ksomisc.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
kvoop.exe,%programfiles%\Micro Focus\Content Manager\kvoop.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
laserform,%programfiles%\Laserform,asr_lua_23.bin;asr_lua_24.bin,2
launchwinapp.exe,%windir%\syswow64\launchwinapp.exe,asr_lua_22.bin;asr_lua_22.bin.txt,2
lhaplus,%programfiles%\Lhaplus,asr_lua_23.bin;asr_lua_24.bin,2
libreoffice 5,%programfiles%\LibreOffice 5,asr_lua_23.bin;asr_lua_24.bin,2
liquidfileswindowsagent.exe,%programfiles(x86)%\LiquidFiles Windows Agent\LiquidFilesWindowsAgent.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
localcloudlauncher.exe,%localappdata%\apps\2.0\*\*\*\LocalCloudLauncher.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
lookeenfileparser.exe,%programfiles(x86)%\Axonic\Lookeen\LookeenFileParser.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
mathtype.exe,%programfiles(x86)%\MathType\MathType.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
matrix.toolbox.trayapp.exe,%localappdata%\apps\2.0\*\*\*\Matrix.Toolbox.TrayApp.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
microsoftedgewebview2setup.exe,%localappdata%\microsoft\olk\cache\microsoftedgewebview2setup.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
moodysbrowser.exe,%programfiles(x86)%\Moody's Analytics\Moody's Add-In for Excel\MoodysBrowser.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
msoffice-crypt.exe,%localappdata%\apps\2.0\*\*\*\msoffice-crypt.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
mssolvehelper databroker,%localappdata%\mssolvehelper databroker,asr_lua_23.bin;asr_lua_23.bin.txt,2
obunity.exe,%localappdata%\apps\2.0\*\*\*\obunity.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
office integration,%programfiles%\Hyland\Office Integration,asr_lua_24.bin;asr_lua_24.bin.txt,2
officeclicktorun.exe,%programfiles%\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe,asr_lua_20.bin;asr_lua_21.bin,2
offlineclient.webhost.exe,%localappdata%\apps\2.0\*\*\*\OfflineClient.WebHost.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
onenote.exe,%programfiles(x86)%\Microsoft Office\root\Office16\ONENOTE.EXE,asr_lua_20.bin;asr_lua_23.bin,2
otportal.exe,%localappdata%\apps\2.0\*\*\*\OTPortal.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
palisade,%programfiles(x86)%\Palisade,asr_lua_23.bin;asr_lua_23.bin.txt,2
partnerproposition.exe,%localappdata%\apps\2.0\*\*\*\PartnerProposition.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
passportoffice.browsersubprocess.exe,%userprofile%\appdata\local\Wolters Kluwer ELM Solutions\Office Companion\Application\PassportOffice.BrowserSubprocess.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
pdf architect 9,%programfiles%\PDF Architect 9,asr_lua_24.bin;asr_lua_24.bin.txt,2
pdf24-reader.exe,%programfiles%\PDF24\pdf24-Reader.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
pdfxedit.exe,%programfiles(x86)%\PDF Editor\PDFXEdit.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
pname,"\""?rundll32(\.exe)?\""?\s+\""?.:\\windows\\system32\\spool\\drivers\\x64\\\d+\\hpmsn\d+\.dll\""?,monitorprintjobstatus\s+/pjob=\d+\s+/pname",asr_lua_22.bin;asr_lua_23.bin,2
pollev presenter,%programfiles(x86)%\Poll Everywhere\PollEv Presenter,asr_lua_23.bin;asr_lua_23.bin.txt,2
powerpdf.exe,%programfiles(x86)%\Kofax\Power PDF-??\bin\PowerPDF.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
powerpnt.exe,%programfiles(x86)%\Microsoft Office\root\Office16\POWERPNT.EXE,asr_lua_20.bin;asr_lua_23.bin,2
promecefpluginhost.exe,%userprofile%\AppData\Local\Kingsoft\WPS Office\*\office??\promecefpluginhost.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
protocolhandler.exe,%localappdata%\*\APT - SO\ProtocolHandler.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
ptsrv.exe,%programdata%\WebEx\WebEx\Applications\ptSrv.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
ptwbxoni.exe,%programdata%\WebEx\WebEx\Applications\ptWbxONI.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
pwdsinst.exe,%programfiles(x86)%\Open Text\DM Extensions\EMail Integration\*\pwdsinst.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
pwrgate.exe,%programfiles(x86)%\Ivanti\Workspace Control\pwrgate.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
q-pulse.exe,%localappdata%\apps\2.0\*\*\*\Q-Pulse.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
qdocsviewer.exe,%localappdata%\apps\2.0\*\*\*\qDocsViewer.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
refinitivworkspace.exe,%programfiles%\Refinitiv\Refinitiv Workspace\RefinitivWorkspace.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
renderprocess.exe,%programfiles%\Fiserv\Nautilus\Office Integration\*\*\RenderProcess.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
ringcentralforoutlook.browsersubprocess-x??.exe,%programfiles(x86)%\RingCentralForOutlook\RingCentralForOutlook.BrowserSubProcess-x??.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
sage software shared,%programfiles%\Common Files\Sage Software Shared,asr_lua_23.bin;asr_lua_24.bin,2
scuserdialog.exe,%programfiles(x86)%\KnowBe4\Second Chance\scuserdialog.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
secmsg.queuemonitor.exe,%localappdata%\apps\2.0\*\*\*\SecMsg.QueueMonitor.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
setup.exe,%programfiles(x86)%\Microsoft\Edge\Application\*\Installer\setup.exe,asr_lua_21.bin;asr_lua_5.bin,2
shellhelper64.dll,%programdata%\FastTrack Software\Admin By Request\ShellHelper64.dll,asr_lua_23.bin;asr_lua_23.bin.txt,2
smartink-sbsdkproxy.exe,%programfiles(x86)%\SMART Technologies\SMART Product Drivers\Office\SMARTInk-SBSDKProxy.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
sme-browser.exe,%localappdata%\apps\2.0\*\*\*\sme-browser.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
snl.clients.office.host.exe,%programfiles%\S&P Global Market Intelligence\SPGMI Office\SNL.Clients.Office.Host.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
sp global market intelligence,%programfiles%\SP Global Market Intelligence,asr_lua_23.bin;asr_lua_23.bin.txt,2
ss_crm.exe,%localappdata%\apps\2.0\*\*\*\SS_CRM.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
studio,%programfiles(x86)%\Articulate\360\Studio,asr_lua_23.bin;asr_lua_23.bin.txt,2
swexplorerlauncher.exe,%localappdata%\apps\2.0\*\*\*\swExplorerLauncher.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
taskmgr.exe,%windir%\system32\taskmgr.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
telsheetchecker.exe,%localappdata%\apps\2.0\*\*\*\TELSheetChecker.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
telusbusinessconnectforoutlook.browsersubprocess-x??.exe,%programfiles(x86)%\TELUSBusinessConnectForOutlook\TELUSBusinessConnectForOutlook.BrowserSubProcess-x??.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
think-cell,%programfiles%\think-cell,asr_lua_23.bin;asr_lua_23.bin.txt,2
tilde shared,%programfiles%\Common Files\Tilde shared,asr_lua_23.bin;asr_lua_24.bin,2
trayexec.exe,%programfiles(x86)%\Egress\Switch\trayexec.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
ucsinglesignon.exe,%programfiles(x86)%\Common Files\C4B\UCSingleSignOn\UCSingleSignOn.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
unify.openscape.exe,%programfiles(x86)%\Unify\Fusion for MS Office\FusionClient\Client\Unify.OpenScape.exe,asr_lua_24.bin;asr_lua_24.bin.txt,2
viewsjpk.exe,%localappdata%\assembly\tmp\*\viewsjpk.exe,asr_lua_23.bin;asr_lua_23.bin.txt,2
werfaultsecure.exe,%windir%\system32\WerFaultSecure.exe,asr_lua_21.bin;asr_lua_22.bin,2
winsxs,%windir%\winsxs,asr_lua_24.bin;asr_lua_24.bin.txt,2
winword.exe,%programfiles(x86)%\Microsoft Office\root\Office16\WINWORD.EXE,asr_lua_20.bin;asr_lua_23.bin,2
wise alert,%programfiles(x86)%\WISE Alert,asr_lua_24.bin;asr_lua_24.bin.txt,2
work,%programfiles%\iManage\Work,asr_lua_24.bin;asr_lua_24.bin.txt,2
worksite,%programfiles%\interwoven\worksite,asr_lua_23.bin;asr_lua_24.bin,2
""",]+)","rundll32(\.exe)?[\""\s]+([^'\"",]+)",asr_lua_24.bin,1
"""]","cmd(\.exe)?[\s\""]+(/c)?[\s\""]*(.+\w+)[\s\""]*",asr_lua_24.bin,1
