indicator_basename,example_string,matched_files,count_files
igfxtray.exe,%windir%\system32\igfxtray.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
live meeting 8,%programfiles%\microsoft office\live meeting 8,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
microsoft office 15,%programfiles%\microsoft office 15,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
microsoft office 2003,%programfiles%\microsoft office 2003,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
microsoft office 2010,%programfiles%\microsoft office 2010,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
microsoft office 2016,%programfiles%\microsoft office 2016,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
microsoft office2003,%programfiles%\microsoft office2003,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
microsoft office2007,%programfiles%\microsoft office2007,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
microsoft.uev.synccontroller.exe,%windir%\system32\microsoft.uev.synccontroller.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
mozilla firefox,%programfiles%\mozilla firefox,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
mspaint.exe,%programfiles%\WindowsApps\Microsoft.Paint_*\PaintApp\mspaint.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
notepad.exe,%programfiles%\WindowsApps\Microsoft.WindowsNotepad_*\Notepad\Notepad.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
notes.exe,%programfiles(x86)%\IBM\Notes\notes.exe,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
office,%programfiles%\microsoft office\office,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
office10,%programfiles%\microsoft office\office10,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
office11,%programfiles%\microsoft office\office11,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
office12,%programfiles%\microsoft office\office12,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
office13,%programfiles%\microsoft office\office13,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
office14,%programfiles%\microsoft office\office14,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
office15,%programfiles%\microsoft office\office15,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
office16,%programfiles%\microsoft office\office16,asr_lua_22.bin;asr_lua_23.bin;asr_lua_23.bin.txt;asr_lua_24.bin;asr_lua_24.bin.txt,5
